#,,,,,,,,,,
# Parameters for a sequnence of GRASP trials.,,,,,,,,,,
# targetHeadTilt, targetHeadTiltTolerance, targetHeadTiltDuration, targetOrientation, targetPresentationDuration, responseHeadTilt, responseHeadTiltTolerance, responseHeadTiltDuration, conflictGain, feedback (0 or 1),
#,,,,,,,,,,
# Two trials with results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,1
0,15,5,20,1,-15,2,5,15,1,1
# Same two again without the results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,0
0,15,5,20,1,-15,2,5,15,1,0
# Two trials with results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,1
0,15,5,20,1,-15,2,5,15,1,1
# Same two again without the results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,0
0,15,5,20,1,-15,2,5,15,1,0
# Two trials with results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,1
0,15,5,20,1,-15,2,5,15,1,1
# Same two again without the results feedback,,,,,,,,,,
0,15,5,20,1,24,2,5,15,1,0
0,15,5,20,1,-15,2,5,15,1,0
